Source,Target,Weight
dextrose,sea-salt,2
diced-tomatoes,green-bell-peppers,2
diced-tomatoes-in-tomato-juice,jalapeno-peppers,2
disodium-inosinate,rendered-bacon-fat,2
disodium-inosinate-guanylate,maltodextrin,2
distilled-monoglycerides,peanut-oil,2
distilled-monoglycerides-diglycerides,nonfant-milk,2
distilled-vinegar,sodium-caseinate,2
dough-conditioner,vinegar,2
dough-improver-malted-wheat-flour,flavorings,2
dry-milk,nonfat-milk,2
dry-milk,yellow,2
each-of-the-following-salt,sodium-lactate,2
each-of-the-following-soy-flour,sesame-seeds,2
egg-soy-flour,sugar,2
egg-whites,rice-starch,2
eggs,potassium-sorbate-sodium-benzoate,2
enrichment-blend-magnesium-oxide,lactic-acid,2
enrichment-blend-magnesium-oxide,low-moisture-partskim-mozzarella-cheese-partskim-milk,2
enzyme-annatto,malted-barley,2
enzymes,london-broil-beef,2
enzymes,pumpernickel-flour,2
enzymes,salt-sodium-phosphates,2
enzymes,sodium-nitrite-may-contain-smoke-flavoring,2
enzymes,milk-mozzarella-cheese,2
enzymes,molasses-refiners-syrup,2
evaporated-cane-syrup,folic-acid,2
expeller-pressed-canola-oil-safflower-oil-sunflower-oil,flavor,2
fd-c-red,garlic-powder,2
fd-c-red,sodium-stearoyl,2
fd-c-yellow,wheat-flour,2
ferrous-sulfate,sodium-caseinate,2
ferrous-sulfate,vitamin-b,2
filling-cooked-eggs,potato-flour,2
filtered-water,palm-stearin,2
fish-protein,tetrasodium-pyrophosphate,2
flavor,nondairy-derived-from-sugar-beets,2
flavor,sodium-chloride,2
flavor-diced-onions-the-following-celery,spices,2
flavoring,process-american-cheese,2
flavorings-autolyzed-yeast-extract,spices,2
flavorings-coloring,sodium-nitrite,2
flavors,vegetable-juice-color,2
flour-wheat-flour,starter-distilled,2
food-starch-modified,spice-extractive,2
food-starchmodified,peanut-flour,2
free-flow-agent,sodium-lactate,2
freshness-sodium-benzoate,wheat-flour,2
garbanzo-beans,vinegar-lemon-juice,2
garlic,shoyu,2
garlic,silicon-dioxide,2
garlic-powder,soy-wheat-proteins,2
garlic-powder,spice-extract,2
garlic,pinto-beans,2
garlic,vinegar,2
glucose-syrup,potassium-iodate,2
glycerine,supreme-protein-bled,2
grain-wheat,reduced-iron,2
guar-gum,roasted-potatoes,2
guar-gum,soy-sauce-water,2
guar-gum,white-vinegar,2
hickory-smoke-flavor,rye,2
high-fructose-corn-syrup,peppers,2
high-oleic-canola-oil,thiamine-mononitrate,2
honey-glazed-walnuts,soy-lecithin,2
hot-sauce,sugar,2
hot-sauce-powder-aged-cayenne-pepper,maltodextrin,2
hydrolyzed-corn-protein,sodium-bicarbonate,2
hydrolyzed-corn-soy-protein,milk,2
invert-syrup,water,2
iron-ferrous-sulfate,wheat-flour,2
lactic-acid,potato-maltodextrin,2
lactose,monocalcium-phosphate,2
leavening-sodium-aluminum-phosphate,palm-shortening,2
leavening-sodium-bicarbonate,whey,2
lemon-juice-concentrate,lemon-oil,2
lemon-juice-concentrate,mustard-bran,2
lemon-pepper,processing-aid,2
lemon-scampi-butter-sauce,water,2
lime-juice-concentrate,white-wine,2
locust-bean-gum,onions,2
low-moisture-mozzarella-cheese-milk,yeast,2
low-moisture-partskim-mozzarella-cheese-partskim-milk,soy-flour-sauce-water,2
lymph-nodes-fat,pork-salivary-glands,2
m-ms-minis-milk-chocolate-candies,red,2
magnesium-chloride,spinach,2
malted-barley,tomato-puree,2
maltodextrin,sauce,2
mandarin-oranges,mizuna,2
may-contain-one-more-of-the-following-peanut,titanium-dioxide,2
mechanically-separated-chicken,wheat,2
methyl-cellulose,water,2
milk,potassium-lactate,2
milk,shellac,2
milk-powder,mono-diglycerides,2
milk-solids,pretzels,2
minced-garlic,xanthan-gum,2
mirin,sugar,2
modified-acacia-gum,salt-less-than-rosemary-extract,2
modified-food-starch,process-cheddar-cheese,2
modified-food-starch,sorbic-acid-calcium-disodium-edta,2
modified-food-starch,spice-mix-modified-food-starch,2
modified-food-starch,sweet-dry-whey,2
mold-inhibitor,natamycin-to-protect-flavor,2
mono-diesters,propylene-glycol,2
mono-diglycerides,spices,2
monopotassium-phosphate,prepared-mustard,2
mustard-bran,vinegar,2
mustard-seed,potassium-chloride,2
natamycin-to-protect-flavor,potato-starch,2
naturally-wood-smoked-brisling-sardines,vinegar,2
niacinamide,trisodium-phosphate-vitamins-minerals-calcium-carbonate,2
nongmo-corn-meal,salt,2
nonfat-dry-milk,peanut-oil,2
olive-oil,spices-flavorings,2
onion,roma-tomato,2
onion-powder,shrimp-powder,2
oregano,shortening,2
oregano,tomato-paste,2
palm-kernel-oil-palm-oil-partially-hydrogenated-vegetable-oil,yellow,2
palm-oil,salt-vegetable-mono-diglycerides,2
palm-stearin,riboflavin-folic-acid,2
paprika-oleoresin,tomato,2
parmesan-cheese,potassium-phosphate,2
partskim-milk,tapioca-starch,2
peanut-flour,zinc-oxide,2
peanuts,sulfur-dioxide-sodium-metabisulfite,2
pecans,whey,2
pecorino-cheese,wheat-flour,2
pecorino-yeast,wheat-flour,2
pepper,wheat-flour,2
potassium-bromate,sodium-benzoate,2
potassium-bromated,yeast-nutrient,2
potassium-phosphate,yeast-extract,2
potato-fiber,rice-flour,2
potatoes,soybean-cottonseed-oil,2
preservative,vinegar-water,2
propylene-glycol-ester-of-fatty-acids,soy-lecithin,2
propylene-glycol-ester-of-fatty-acids,sugar,2
red,sweet-relish,2
red,thiamine-mononitrate,2
red,vitamin-d,2
red-onions,sea-salt,2
red-quinoa,water,2
reduced-iron,white-coating,2
reduced-lactose-whey,yellow-yellow,2
reduced-mineral-whey-protein,sunflower-oil,2
relish,yeast,2
retains-product-freshness,sugar,2
riboflavin,seasoning-blend,2
riboflavin,soy-fiber,2
salt,the-following-artificial-flavors,2
salt,vegetable-flavor,2
sesame-paste,soybeans,2
shrimp,sodium-metabisulfite-preservative,2
skim-milk,sweet-cream-buttermilk,2
sodium-aluminum-sulfate,wheat-starch,2
sodium-bicarbonate,soy-protein-concentrate-soy-flour,2
sodium-phosphate,soybean-oil,2
sorbitol,white-vinegar,2
soy-lecithin-an-emulsifier,vanilla,2
soy-protein,tomato,2
soybean-oil,stevia-leaf-extract,2
soybean-oil,swiss,2
soybean-oil,wheat-flour-dextrose-yeast-salt,2
spices,topping,2
sugar,yogurt-raisins,2
sunflower,yeast,2
sweet-potato,tapioca-starch,2
sweetener,thiamin-mononitrate,2
thiamin-mononitrate,yeast-nutrients,2
thickener,vegetable-oil,2
vegetable-oil,wheat-flour-wheat-flour,2
vitamin-b,vitamin-b,2
onion,flavors,1
onion,process-cheddar-cheese-product,1
onion,xanthan-gum,1
high-gluten-flour,wheat-flour,1
cookie-base,folic-acid,1
,colour,1
,polyglycerol-esters-of-fatty-acids,1
nonfat-milk,salt,1
salt,buttermilk,1
calcium-propionate,riboflavin,1
calcium-propionate,thiamine-mononitrate,1
salt,niacin,1
,magnesium-carbonate,1
acacia-gum,corn-starch,1
acacia-gum,dutch-cocoa-powder,1
acerola-cherry,tocopherols-ascorbic-acid,1
acetic-ac,thiamine-mononitrate,1
acetic-acid,white-roll,1
acidity-regulator,chilli-pepper,1
acidity-regulator-citric-acid,wheat-flour,1
acidity-regulators,sugar,1
agar-agar,gluten-free-oats,1
agar-agar,soybeans,1
agaragar,sodium-acid-pyrophosphate,1
agaragar,the-following-cinnamon,1
agave,cane-sugar,1
aged-cayenne-pepper-sauce,cayenne-pepper,1
aged-ceyenne-peppers,beer,1
aji-peppers,baking-powder,1
al-pastor-sauce-water,sodium-bicarbonate,1
alaska-polilock,avocado,1
alcohol,heavy-cream,1
alcohol,sesame-seed-oil,1
alfredo-sauce,black-pepper,1
alfredo-sauce,garlic,1
alkalized-cocoa,chicory-root-fiber,1
alkalized-cocoa,coconut-oil,1
alkalized-cocoa,wheat-flour,1
allulose,milk-protein-concentrate,1
almond-butter,phytonadione,1
almond-milk,guar-gum,1
almonds,artificial-color-blue,1
almonds,european-salad-mix,1
almonds,honey-roasted-barbecue-peanuts,1
almonds,marshmallows,1
alum,dill,1
alum,sweet-pickle-relish,1
amaranth,onions,1
ammonium,brown-sugar,1
